time_id,lsoa_code,deprivation_level,crime_count
2015-03-01,E01000737,High,5
2015-03-01,E01000738,Low,3
2015-03-01,E01000739,Very High,4
2015-03-01,E01000740,Medium,6
2015-03-01,E01000741,Medium,5
2015-03-01,E01000742,Medium,7
2015-03-01,E01000743,Very High,7
2015-03-01,E01000744,Very High,5
2015-03-01,E01000745,Low,3
2015-03-01,E01000746,Low,4
2015-03-01,E01000747,Low,10
2015-03-01,E01000748,Very Low,1
2015-03-01,E01000749,Very Low,2
2015-03-01,E01000750,High,1
2015-03-01,E01000751,Very Low,6
2015-03-01,E01000752,Very Low,1
2015-03-01,E01000753,Very Low,2
2015-03-01,E01000756,Very Low,1
2015-03-01,E01000758,Very Low,2
2015-03-01,E01000759,Very Low,1
2015-03-01,E01000760,Very Low,2
2015-03-01,E01000764,Very Low,3
2015-03-01,E01000768,Very Low,1
2015-03-01,E01000769,Medium,12
2015-03-01,E01000771,Very Low,1
2015-03-01,E01000772,Very Low,1
2015-03-01,E01000775,Very Low,1
2015-03-01,E01000778,Very Low,1
2015-03-01,E01000779,Low,4
2015-03-01,E01000780,Medium,1
2015-03-01,E01000782,Very High,7
2015-03-01,E01000785,High,1
2015-03-01,E01000786,Very Low,3
2015-03-01,E01000787,Medium,1
2015-03-01,E01000788,Medium,6
2015-03-01,E01000789,Very High,6
2015-03-01,E01000790,Very Low,6
2015-03-01,E01000791,Very Low,2
2015-03-01,E01000792,Low,4
2015-03-01,E01000793,Very Low,1
2015-03-01,E01000795,Low,2
2015-03-01,E01000796,High,6
2015-03-01,E01000797,Very Low,2
2015-03-01,E01000798,Very High,6
2015-03-01,E01000799,Low,6
2015-03-01,E01000800,High,5
2015-03-01,E01000802,Low,3
2015-03-01,E01000803,Low,2
2015-03-01,E01000805,Medium,1
2015-03-01,E01000806,Medium,1
2015-03-01,E01000811,Very Low,1
2015-03-01,E01000813,Very Low,3
2015-03-01,E01000815,Very Low,1
2015-03-01,E01000816,Very Low,1
2015-03-01,E01000818,Very Low,3
2015-03-01,E01000819,Medium,2
2015-03-01,E01000822,Very Low,3
2015-03-01,E01000823,Very Low,1
2015-03-01,E01000825,Low,1
2015-03-01,E01000827,Very Low,2
2015-03-01,E01000829,Very Low,1
2015-03-01,E01000830,Very Low,1
2015-03-01,E01000831,Very Low,1
2015-03-01,E01000832,Very Low,1
2015-03-01,E01000834,Very Low,1
2015-03-01,E01000835,Very Low,3
2015-03-01,E01000837,Very Low,3
2015-03-01,E01000838,Very Low,2
2015-03-01,E01000839,Very Low,1
2015-03-01,E01000841,Very Low,1
2015-03-01,E01000842,Very Low,3
2015-03-01,E01000843,Very Low,4
2015-03-01,E01000845,Very Low,2
2015-03-01,E01000846,Medium,2
2015-03-01,E01000847,Low,1
2015-03-01,E01000849,Very Low,2
2015-03-01,E01000850,Low,8
2015-03-01,E01000851,Low,4
2015-03-01,E01000852,Low,4
2015-03-01,E01000853,High,1
2015-03-01,E01000854,Low,14
2015-03-01,E01000855,Low,9
2015-03-01,E01000856,High,7
2015-03-01,E01000858,Very High,9
2015-03-01,E01000859,Very Low,3
2015-03-01,E01000860,Low,3
2015-03-01,E01000861,High,12
2015-03-01,E01000863,Very High,25
2015-03-01,E01000864,Low,3
2015-03-01,E01000865,Very Low,5
2015-03-01,E01000866,Medium,1
2015-03-01,E01000869,Medium,4
2015-03-01,E01000870,Medium,1
2015-03-01,E01000871,Low,3
2015-03-01,E01000872,Medium,2
2015-03-01,E01000873,Very Low,1
2015-03-01,E01000875,Medium,2
2015-03-01,E01000876,High,1
2015-03-01,E01000878,Very Low,1
2015-03-01,E01000881,Very Low,2
2015-03-01,E01000883,Very Low,2
2015-03-01,E01000884,Very Low,1
2015-03-01,E01000886,Very Low,2
2015-03-01,E01000887,Very Low,4
2015-03-01,E01000888,Low,2
2015-03-01,E01000889,High,3
2015-03-01,E01000890,Very High,1
2015-03-01,E01000891,Very High,5
2015-03-01,E01000892,Low,1
2015-03-01,E01000893,Very Low,1
2015-03-01,E01000895,Very Low,2
2015-03-01,E01000898,Very Low,3
2015-03-01,E01000900,Medium,4
2015-03-01,E01000901,High,3
2015-03-01,E01000902,Very High,4
2015-03-01,E01000903,Low,2
2015-03-01,E01000904,Medium,6
2015-03-01,E01000905,Very High,4
2015-03-01,E01000906,Very Low,1
2015-03-01,E01000907,Very High,2
2015-03-01,E01000908,High,2
2015-03-01,E01000909,Very Low,1
2015-03-01,E01000912,Medium,2
2015-03-01,E01000913,Very Low,1
2015-03-01,E01000914,Very Low,11
2015-03-01,E01000915,Medium,3
2015-03-01,E01000916,Low,6
2015-03-01,E01000917,Very High,3
2015-03-01,E01000918,Low,15
2015-03-01,E01000919,Medium,11
2015-03-01,E01000921,Low,9
2015-03-01,E01000922,Medium,2
2015-03-01,E01000923,Low,2
2015-03-01,E01000926,Low,3
2015-03-01,E01000927,Low,5
2015-03-01,E01000928,Low,6
2015-03-01,E01000929,Medium,2
2015-03-01,E01000930,High,7
2015-03-01,E01000931,Very High,4
2015-03-01,E01000932,Low,1
2015-03-01,E01000933,Medium,8
